Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[disease]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[genotype]	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_STDEV]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Factor Value[organism]	Factor Value[cell type]	Factor Value[genotype]	Factor Value[disease]	Factor Value[protocol]
NW140626-II_16	ERS2154750	SAMEA104543466	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_16	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_16	sequencing assay	ERX2317411	NW140626-II_16_1.fastq.gz	NW140626-II_16_1.fastq.gz	ERR2268508	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/008/ERR2268508/ERR2268508_1.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_16	ERS2154750	SAMEA104543466	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_16	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_16	sequencing assay	ERX2317411	NW140626-II_16_2.fastq.gz	NW140626-II_16_2.fastq.gz	ERR2268508	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/008/ERR2268508/ERR2268508_2.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_17	ERS2154751	SAMEA104543467	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_17	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_17	sequencing assay	ERX2317412	NW140626-II_17_1.fastq.gz	NW140626-II_17_1.fastq.gz	ERR2268509	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/009/ERR2268509/ERR2268509_1.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_17	ERS2154751	SAMEA104543467	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_17	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_17	sequencing assay	ERX2317412	NW140626-II_17_2.fastq.gz	NW140626-II_17_2.fastq.gz	ERR2268509	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/009/ERR2268509/ERR2268509_2.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_18	ERS2154752	SAMEA104543468	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_18	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_18	sequencing assay	ERX2317413	NW140626-II_18_1.fastq.gz	NW140626-II_18_1.fastq.gz	ERR2268510	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/000/ERR2268510/ERR2268510_1.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_18	ERS2154752	SAMEA104543468	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_18	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_18	sequencing assay	ERX2317413	NW140626-II_18_2.fastq.gz	NW140626-II_18_2.fastq.gz	ERR2268510	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/000/ERR2268510/ERR2268510_2.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_19	ERS2154753	SAMEA104543469	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_19	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_19	sequencing assay	ERX2317414	NW140626-II_19_1.fastq.gz	NW140626-II_19_1.fastq.gz	ERR2268511	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/001/ERR2268511/ERR2268511_1.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_19	ERS2154753	SAMEA104543469	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_19	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_19	sequencing assay	ERX2317414	NW140626-II_19_2.fastq.gz	NW140626-II_19_2.fastq.gz	ERR2268511	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/001/ERR2268511/ERR2268511_2.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_21	ERS2154754	SAMEA104543470	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_21	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_21	sequencing assay	ERX2317415	NW140626-II_21_1.fastq.gz	NW140626-II_21_1.fastq.gz	ERR2268512	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/002/ERR2268512/ERR2268512_1.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_21	ERS2154754	SAMEA104543470	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_21	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_21	sequencing assay	ERX2317415	NW140626-II_21_2.fastq.gz	NW140626-II_21_2.fastq.gz	ERR2268512	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/002/ERR2268512/ERR2268512_2.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_22	ERS2154755	SAMEA104543471	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_22	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_22	sequencing assay	ERX2317416	NW140626-II_22_1.fastq.gz	NW140626-II_22_1.fastq.gz	ERR2268513	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/003/ERR2268513/ERR2268513_1.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_22	ERS2154755	SAMEA104543471	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_22	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_22	sequencing assay	ERX2317416	NW140626-II_22_2.fastq.gz	NW140626-II_22_2.fastq.gz	ERR2268513	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/003/ERR2268513/ERR2268513_2.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_23	ERS2154756	SAMEA104543472	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_23	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_23	sequencing assay	ERX2317417	NW140626-II_23_1.fastq.gz	NW140626-II_23_1.fastq.gz	ERR2268514	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/004/ERR2268514/ERR2268514_1.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_23	ERS2154756	SAMEA104543472	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_23	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_23	sequencing assay	ERX2317417	NW140626-II_23_2.fastq.gz	NW140626-II_23_2.fastq.gz	ERR2268514	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/004/ERR2268514/ERR2268514_2.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_24	ERS2154757	SAMEA104543473	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_24	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_24	sequencing assay	ERX2317418	NW140626-II_24_1.fastq.gz	NW140626-II_24_1.fastq.gz	ERR2268515	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/005/ERR2268515/ERR2268515_1.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_24	ERS2154757	SAMEA104543473	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_24	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_24	sequencing assay	ERX2317418	NW140626-II_24_2.fastq.gz	NW140626-II_24_2.fastq.gz	ERR2268515	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/005/ERR2268515/ERR2268515_2.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_25	ERS2154758	SAMEA104543474	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_25	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_25	sequencing assay	ERX2317419	NW140626-II_25_1.fastq.gz	NW140626-II_25_1.fastq.gz	ERR2268516	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/006/ERR2268516/ERR2268516_1.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_25	ERS2154758	SAMEA104543474	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_25	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_25	sequencing assay	ERX2317419	NW140626-II_25_2.fastq.gz	NW140626-II_25_2.fastq.gz	ERR2268516	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/006/ERR2268516/ERR2268516_2.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_27	ERS2154759	SAMEA104543475	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_27	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_27	sequencing assay	ERX2317420	NW140626-II_27_1.fastq.gz	NW140626-II_27_1.fastq.gz	ERR2268517	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/007/ERR2268517/ERR2268517_1.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_27	ERS2154759	SAMEA104543475	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_27	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_27	sequencing assay	ERX2317420	NW140626-II_27_2.fastq.gz	NW140626-II_27_2.fastq.gz	ERR2268517	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/007/ERR2268517/ERR2268517_2.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_28	ERS2154760	SAMEA104543476	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_28	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_28	sequencing assay	ERX2317421	NW140626-II_28_1.fastq.gz	NW140626-II_28_1.fastq.gz	ERR2268518	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/008/ERR2268518/ERR2268518_1.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_28	ERS2154760	SAMEA104543476	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_28	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_28	sequencing assay	ERX2317421	NW140626-II_28_2.fastq.gz	NW140626-II_28_2.fastq.gz	ERR2268518	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/008/ERR2268518/ERR2268518_2.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_29	ERS2154761	SAMEA104543477	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_29	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_29	sequencing assay	ERX2317422	NW140626-II_29_1.fastq.gz	NW140626-II_29_1.fastq.gz	ERR2268519	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/009/ERR2268519/ERR2268519_1.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_29	ERS2154761	SAMEA104543477	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_29	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_29	sequencing assay	ERX2317422	NW140626-II_29_2.fastq.gz	NW140626-II_29_2.fastq.gz	ERR2268519	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/009/ERR2268519/ERR2268519_2.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_30	ERS2154762	SAMEA104543478	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_30	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_30	sequencing assay	ERX2317423	NW140626-II_30_1.fastq.gz	NW140626-II_30_1.fastq.gz	ERR2268520	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/000/ERR2268520/ERR2268520_1.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
NW140626-II_30	ERS2154762	SAMEA104543478	Homo sapiens	normal	GM12891	EBV-transformed B-lymphocyte	wild type genotype	cell	P-MTAB-71229	P-MTAB-71230	P-MTAB-71231	NW140626-II_30	PAIRED	MNase	GENOMIC	not applicable	MNase-Seq	150	20	P-MTAB-71232	Karina Hoekstra-Wakker 	NW140626-II_30	sequencing assay	ERX2317423	NW140626-II_30_2.fastq.gz	NW140626-II_30_2.fastq.gz	ERR2268520	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/000/ERR2268520/ERR2268520_2.fastq.gz	202	102	Homo sapiens	EBV-transformed B-lymphocyte	wild type genotype	normal	Strand-Seq
